agency,business_title,posting_salary_range_from,posting_salary_range_to,posting_date,posting_until,posting_duration,actual_base_salary,actual_pay_basis,actual_regular_gross_paid,actual_total_ot_paid,actual_total_other_pay,actual_total_income_paid,match_ratio
BRONX DISTRICT ATTORNEY,Community Engagement Coordinator -Community Affairs Unit,60000,60000,2023-11-17T00:00:00.000000,2026-08-12T00:00:00.000000,999,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPARTMENT OF TRANSPORTATION,GIS Data Specialist,75000,160000,2024-04-02T00:00:00.000000,2024-05-02T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
HOUSING PRESERVATION & DVLPMNT,Business Analyst (BA) for the Division of HPD TECH,95233,109518,2025-06-23T00:00:00.000000,2025-09-21T00:00:00.000000,90,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF ENVIRONMENT PROTECTION,Project Coordinator,56313,64760,2024-04-29T00:00:00.000000,2024-05-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Supervisor of the Wards Island Priority Pollutants Laboratory,78128,118657,2022-09-14T00:00:00.000000,2022-10-14T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Industrial/Commercial Program Section Lead,88026,122295,2024-02-19T00:00:00.000000,2024-03-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DISTRICT ATTORNEY-MANHATTAN,Youth Program Coordinator,53615,53615,2025-04-25T00:00:00.000000,2025-05-25T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF ENVIRONMENT PROTECTION,Region Supervisor,53702,148745,2022-06-08T00:00:00.000000,2022-07-08T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF SANITATION,Auto Mechanic,335.68,390.72,2025-04-11T00:00:00.000000,2025-05-11T00:00:00.000000,30,522.32,per Day,150800.86,287.01,8680.53,159768.4,88.88888888888889
HOUSING PRESERVATION & DVLPMNT,Senior Attorney,103055,103055,2025-05-08T00:00:00.000000,2025-08-16T00:00:00.000000,100,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF ENVIRONMENT PROTECTION,IN-HOUSE EHS OFFICER,84018,123141,2025-04-25T00:00:00.000000,2025-05-25T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,Public Space Equity Program (PSEP) Coordinator - Public Realm,60328,87126,2024-03-21T00:00:00.000000,2024-04-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Sergeant, Bureau of Operations",62073,70142,2025-06-20T00:00:00.000000,2026-06-20T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HOUSING PRESERVATION & DVLPMNT,Deputy General Counsel for Operations and Legislation,170000,180000,2025-07-15T00:00:00.000000,2025-09-13T00:00:00.000000,60,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Ambassador, Bureau of Maternal Infant and Reproductive Health",44003,50603,2025-03-19T00:00:00.000000,2026-03-19T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,BEC Policy Analyst,60889,94521,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Capital Projects/On-Call Design Manager,80000,105000,2022-06-27T00:00:00.000000,2022-07-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF YOUTH & COMM DEV SRVS,Data Systems Analyst,60889,94521,2025-05-16T00:00:00.000000,2025-06-15T00:00:00.000000,30,60039.00,per Annum,57954.21,0.00,5564.95,63519.159999999996,85.29411764705883
DEPT OF ENVIRONMENT PROTECTION,CHIEF OF BUDGET,79473,118334,2025-03-13T00:00:00.000000,2025-04-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
OFFICE OF CRIMINAL JUSTICE,"Senior Counsel, Policy",66066,125000,2025-05-27T00:00:00.000000,2025-06-26T00:00:00.000000,30,260042.00,per Annum,213062.77,0.00,3000.00,216062.77,85.24590163934427
DEPT OF HEALTH/MENTAL HYGIENE,"Lead Home Visitor, Bureau of Maternal Infant and Reproductive Health",53074,61035,2024-10-29T00:00:00.000000,2025-10-29T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF YOUTH & COMM DEV SRVS,ASSOCIATE CONTRACT SPECIALIST,65775,99115,2025-04-07T00:00:00.000000,2025-05-07T00:00:00.000000,30,77910.00,per Annum,73679.27,0.00,43.25,73722.52,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Home Visitor, NFP, Bureau of Maternal Infant and Reproductive Health",97012,97012,2024-02-14T00:00:00.000000,2024-03-15T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
ADMIN FOR CHILDREN'S SVCS,Case Manager Specialist,79798,107616,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPT OF YOUTH & COMM DEV SRVS,IT College Aide,18.54,23.32,2025-07-09T00:00:00.000000,2025-08-08T00:00:00.000000,30,60039.00,per Annum,57954.21,0.00,5564.95,63519.159999999996,85.29411764705883
DEPT OF ENVIRONMENT PROTECTION,Chief of Staff to the Chief Financial Officer and Executive Director of the Water Board,115131,149000,2025-07-24T00:00:00.000000,2025-08-13T00:00:00.000000,20,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,SENIOR ACCOUNT CONTROL AUDITOR,72997,83947,2025-04-03T00:00:00.000000,2025-05-03T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
HRA/DEPT OF SOCIAL SERVICES,EIOT SUPERVISOR,58377,67134,2025-03-22T00:00:00.000000,2025-04-21T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
DEPARTMENT OF CORRECTION,Agency Attorney,79620,91563,2022-02-18T00:00:00.000000,2022-03-20T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPARTMENT OF TRANSPORTATION,Community Coordinator,59116,91768,2024-04-11T00:00:00.000000,2024-05-11T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,"Section Manager, Engineering Support",98470,133496,2023-08-13T00:00:00.000000,2023-09-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,Searchers / Testifiers (Per Diem),31.7329,46.1281,2024-02-18T00:00:00.000000,2024-03-19T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Trainer, Race to Justice, Office of Deputy Commissioner",60889,90000,2025-01-02T00:00:00.000000,2026-01-02T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,Assistant District Attorney -  Appeals Bureau,80000,167610,2022-07-14T00:00:00.000000,2026-07-31T00:00:00.000000,1478,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPARTMENT OF TRANSPORTATION,Civil Engineer Intern,57866,70075,2025-05-21T00:00:00.000000,2025-06-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF YOUTH & COMM DEV SRVS,Community Program Specialist-Field,17.27,19.86,2025-05-19T00:00:00.000000,2025-06-18T00:00:00.000000,30,60039.00,per Annum,57954.21,0.00,5564.95,63519.159999999996,85.29411764705883
HRA/DEPT OF SOCIAL SERVICES,QUALITY CONTROL CASE REVIEWER,57976,66672,2024-12-04T00:00:00.000000,2025-01-03T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,"Patient Navigator, Bureau of Public Health Clinics",53074,61035,2025-02-11T00:00:00.000000,2026-02-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Public Health Clinics",53074,61035,2024-12-26T00:00:00.000000,2025-12-26T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Assistant Counsel,80387,120466,2024-10-08T00:00:00.000000,2024-11-07T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
BRONX DISTRICT ATTORNEY,Trial Preparation Assistant LV 1- Trial Division,42092,42092,2024-07-15T00:00:00.000000,2027-04-10T00:00:00.000000,999,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPARTMENT OF TRANSPORTATION,BOB- Administrative Construction Project Manager N/M,60443,164461,2025-06-20T00:00:00.000000,2025-07-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
HOUSING PRESERVATION & DVLPMNT,"Customer Service Representative, C&E",70022,70022,2025-01-31T00:00:00.000000,2025-09-08T00:00:00.000000,220,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
HUMAN RIGHTS COMMISSION,AGENCY ATTORNEY II,83000,95450,2025-04-22T00:00:00.000000,2025-05-22T00:00:00.000000,30,65124.00,per Annum,995.06,0.00,0.00,995.06,100.0
HRA/DEPT OF SOCIAL SERVICES,HOMEBASE CONSULTANT,68423,78686,2025-01-08T00:00:00.000000,2025-02-07T00:00:00.000000,30,86057.00,per Annum,54224.53,1674.53,2820.89,58719.95,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Community Mental Health Monitor, Mental Health-Assisted Outpatient Treatment Program",60889,72298,2025-04-18T00:00:00.000000,2026-04-18T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Child Care Inspector, Bureau of Childcare",53132,53132,2025-06-25T00:00:00.000000,2026-06-25T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,CASA DIRECTOR,66067,126115,2025-05-21T00:00:00.000000,2025-06-20T00:00:00.000000,30,114173.00,per Annum,113860.24,0.00,2187.20,116047.44,94.73684210526315
DEPARTMENT OF TRANSPORTATION,BOB- Bridge Repairer and Riveter,439.6,439.6,2025-07-26T00:00:00.000000,2025-08-30T00:00:00.000000,35,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
NYC HOUSING AUTHORITY,HOUSING ASSISTANT (HA),42723,69243,2025-07-25T00:00:00.000000,2025-08-24T00:00:00.000000,30,60106.00,per Annum,58175.74,4.09,3019.50,61199.329999999994,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Public Health Clinics",53074,61035,2025-03-28T00:00:00.000000,2026-03-28T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Associate Commissioner for Grants and Fiscal Management,100102,251845,2024-09-24T00:00:00.000000,2024-10-24T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Capital Projects/On-Call Design Manager,80000,105000,2022-06-27T00:00:00.000000,2022-07-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,"Chief Engineer, TPM",100102,251845,2024-09-26T00:00:00.000000,2024-10-26T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
HRA/DEPT OF SOCIAL SERVICES,FAIR HEARING SERVICE SPECIALIST,58377,67134,2024-11-07T00:00:00.000000,2024-12-07T00:00:00.000000,30,48246.00,per Annum,49638.15,0.00,3279.90,52918.05,91.56626506024097
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT CIVIL ENGINEER,73878,73878,2024-10-28T00:00:00.000000,2024-11-27T00:00:00.000000,30,73878.00,per Annum,71341.09,0.00,267.02,71608.11,100.0
DEPARTMENT OF CORRECTION,Director of Emergency Operations,100000,125000,2025-08-06T00:00:00.000000,2025-09-05T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPT OF HEALTH/MENTAL HYGIENE,"Child Care Inspector, Bureau of Childcare",51460,51460,2025-05-07T00:00:00.000000,2026-05-07T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,64242,96395,2025-04-25T00:00:00.000000,2025-05-25T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF ENVIRONMENT PROTECTION,INDUSTRIAL HYGIENIST,47390,67023,2023-04-23T00:00:00.000000,2023-05-23T00:00:00.000000,30,72535.00,per Annum,70044.09,13341.30,1218.70,84604.09,100.0
DEPT OF ENVIRONMENT PROTECTION,EHS AUDIT SPECIALIST,64242,96395,2025-05-19T00:00:00.000000,2025-06-18T00:00:00.000000,30,59061.00,per Annum,57033.20,0.00,3720.64,60753.84,93.18181818181819
HRA/DEPT OF SOCIAL SERVICES,PRINCIPAL ASSISTANT TO DEPUTY COMMISSIONER,58695,67499,2022-09-21T00:00:00.000000,2022-10-21T00:00:00.000000,30,224466.00,per Annum,219164.33,0.00,3000.00,222164.33,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Instructor, Bureau of Food Safety and Community Sanitation",78250,89987,2025-06-25T00:00:00.000000,2026-06-25T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Applications Developer,76584,112111,2023-04-23T00:00:00.000000,2023-05-23T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
OFFICE OF MANAGEMENT & BUDGET,Analyst  Fiscal,58851,84257,2025-02-14T00:00:00.000000,2025-03-16T00:00:00.000000,30,128549.00,per Annum,133151.69,0.00,3000.00,136151.69,87.87878787878788
NYC HOUSING AUTHORITY,Support Analyst,50425,56650,2025-08-11T00:00:00.000000,2025-08-14T00:00:00.000000,3,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
BRONX DISTRICT ATTORNEY,Supervising Assistant District Attorney,112000,188000,2025-02-18T00:00:00.000000,2025-08-17T00:00:00.000000,180,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant, Bureau of Operations",17,21.4,2025-04-24T00:00:00.000000,2026-04-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"RU Case Navigator, Bureau of Vital Statistics",45040,54000,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,Digital Forensic Examiner II,94521,94521,2025-03-24T00:00:00.000000,2025-04-23T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Data/Registration Clerk, Bureau of Public Health Clinics",44003,50603,2024-10-09T00:00:00.000000,2025-10-09T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Associate Director of Microbiology, Bureau of Public Health Laboratory",81083,165000,2025-01-16T00:00:00.000000,2026-01-16T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Outreach Nurse Educator/Trainer, Bureau of Tuberculosis Control",84981,84981,2025-04-22T00:00:00.000000,2026-04-22T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,Case Manager,53074,67630,2025-06-03T00:00:00.000000,2025-10-01T00:00:00.000000,120,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,ZONE COORDINATOR-NORTHWEST BRONX,62868,70022,2025-07-01T00:00:00.000000,2025-07-31T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF HEALTH/MENTAL HYGIENE,"Deputy Director for Administration, Bureau of Childcare",106117,122034,2025-02-10T00:00:00.000000,2026-02-10T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Community Associate,43143,49615,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,City Research Scientist 1,72190,79410,2024-11-19T00:00:00.000000,2024-12-19T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
NYC HOUSING AUTHORITY,Backup SAN Storage Engineer,75000,115000,2025-07-09T00:00:00.000000,2025-08-08T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF ENVIRONMENT PROTECTION,Supervisor Watershed Maintenance,63150,79114,2023-04-23T00:00:00.000000,2023-05-23T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DISTRICT ATTORNEY-MANHATTAN,ECAB Paralegal,50470,50470,2025-02-13T00:00:00.000000,2025-03-15T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF ENVIRONMENT PROTECTION,Instrumentation Specialist,53641,55608,2022-07-16T00:00:00.000000,2022-08-15T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,Executive Assistant,59715,68672,2025-07-09T00:00:00.000000,2025-08-08T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPARTMENT OF CORRECTION,Academy Instructor (PT),33.3273,51.7356,2024-12-18T00:00:00.000000,2025-08-25T00:00:00.000000,250,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPT OF ENVIRONMENT PROTECTION,PORTFOLIO MANAGER,80931,208826,2023-11-27T00:00:00.000000,2023-12-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
NYC HOUSING AUTHORITY,PLASTERER,56.1,56.1,2025-07-28T00:00:00.000000,2025-08-17T00:00:00.000000,20,422.00,per Day,45529.54,6880.03,3391.97,55801.54,100.0
DEPT OF YOUTH & COMM DEV SRVS,Senior Director of Project Management and Technology Services,91090,235036,2025-04-03T00:00:00.000000,2025-05-03T00:00:00.000000,30,60039.00,per Annum,57954.21,0.00,5564.95,63519.159999999996,85.29411764705883
NYC HOUSING AUTHORITY,Computer Systems Trainer -Learning & Development,62868,97593,2025-07-28T00:00:00.000000,2025-08-17T00:00:00.000000,20,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
CONSUMER AND WORKER PROTECTION,Inspector - 719355,49396,56805,2025-07-13T00:00:00.000000,2025-10-11T00:00:00.000000,90,193743.00,per Annum,0.00,0.00,13206.88,13206.88,88.23529411764706
PUBLIC ADMINISTRATOR-NEW YORK,ACCOUNTANT,50217,68234,2023-02-09T00:00:00.000000,2023-03-11T00:00:00.000000,30,77251.00,per Annum,8606.67,0.00,0.00,8606.67,100.0
DEPARTMENT OF TRANSPORTATION,PRP - Senior Engineer,88026,122295,2025-06-25T00:00:00.000000,2025-07-25T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF TRANSPORTATION,Assistant General Counsel,71163,108641,2025-05-01T00:00:00.000000,2025-05-31T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT FOR THE AGING,Senior Agency Counsel,100000,120000,2025-04-24T00:00:00.000000,2025-10-21T00:00:00.000000,180,202221.00,per Annum,206686.37,0.00,3000.00,209686.37,85.71428571428571
HRA/DEPT OF SOCIAL SERVICES,SENIOR INVESTIGATOR,57490,66114,2025-06-25T00:00:00.000000,2025-07-25T00:00:00.000000,30,75853.00,per Annum,73224.98,60.44,1470.97,74756.39,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Wellness Engagement Coordinator, Administration Office",58575,72190,2024-12-17T00:00:00.000000,2025-12-17T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,PORTFOLIO MANAGER,80931,208826,2023-07-14T00:00:00.000000,2023-08-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
NYC HOUSING AUTHORITY,Project Coordinator,80000,99528,2025-06-25T00:00:00.000000,2025-07-25T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPARTMENT OF TRANSPORTATION,BOB- Administrative Construction Project Manager (NM),60443,164461,2025-06-20T00:00:00.000000,2025-07-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DISTRICT ATTORNEY-MANHATTAN,Youth and Education Coordinator,53615,57786,2025-07-01T00:00:00.000000,2025-07-31T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
HRA/DEPT OF SOCIAL SERVICES,LEAVE OF ABSENCE CONSULTANT,66062,75971,2025-07-11T00:00:00.000000,2025-08-10T00:00:00.000000,30,86057.00,per Annum,54224.53,1674.53,2820.89,58719.95,100.0
DISTRICT ATTORNEY-MANHATTAN,Investigative Analyst,55150,58508,2025-05-06T00:00:00.000000,2025-06-05T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
HRA/DEPT OF SOCIAL SERVICES,EIOT SUPERVISOR,56677,89698,2024-05-16T00:00:00.000000,2024-06-15T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
HRA/DEPT OF SOCIAL SERVICES,CLERICAL ASSOCIATE,45050,51796,2025-03-12T00:00:00.000000,2025-04-11T00:00:00.000000,30,42517.00,per Annum,41057.49,192.05,55.50,41305.04,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Co Response Coordinator I, Bureau of Health Promotion of Justice Impacted Populations",74781,85998,2024-12-24T00:00:00.000000,2025-12-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,PORTFOLIO MANAGER,80931,208826,2023-07-14T00:00:00.000000,2023-08-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Phlebotomist, Bureau of Public Health Clinics",27.1801,27.1801,2025-04-02T00:00:00.000000,2026-04-02T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
